구분,발표일,시행일,대책명,적용범위,문턱,도구,내용,서울내차등,우리분석,증거등급,출처,출처URL
규제지역,2016-11-03,2016-11-03,11·3 대책,조정대상지역 37곳,,지정,조정대상지역 제도 신설. 서울 전 자치구 포함,없음,창 이전,2차,요약자료,
규제지역,2017-06-19,2017-06-19,6·19 대책,조정대상지역 40곳,,지정,경기 광명·부산 기장/진구 추가,없음,창 시작 직후,2차,요약자료,
대출,2017-06-19,2017-07-03,6·19 대책,조정대상지역,,LTV/DTI,LTV 70→60%·DTI 60→50%,없음,상쇄,1차,금융위 LTV·DTI 맞춤형 조정방안 적용 기준일 안내(2017-06-20),https://www.fsc.go.kr/no010101/72732
규제지역,2017-08-02,2017-08-03,8·2 대책,서울 25개구 투기과열지구,,지정,서울 전역 투기과열지구,없음,상쇄,1차,국토교통부공고 제2017-1173호 투기과열지구 지정,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15117
규제지역,2017-08-02,2017-08-02,8·2 대책,서울 11개구 투기지역,,지정,강남 서초 송파 강동 용산 성동 노원 마포 양천 영등포 강서,있음,교란 점검 완료,1차,국토부 8·2 주택시장 안정화 방안,
대출,2017-08-02,2017-08-23,8·2 대책,투기과열지구·투기지역,,LTV/DTI,LTV·DTI 40%(다주택 30%),없음,상쇄,1차,금융위 8·2 후속 5개 감독규정 개정(2017-08-22 의결),https://www.fsc.go.kr/no010101/72791
대출,2017-08-02,불명,8·2 대책,투기지역,,사업자대출,주택임대·매매업 외 업종 사업자의 주택구입 목적 주담대 금지,있음,영향 작음(사업자대출),불명,확인 불가 — 8·2 대책의 규제 내용만 확인. 행정지도 원문·시행일 미확보,
대출,2017-10-24,2018-01-31,10·24 가계부채 종합대책,전국,,신DTI,기존 주담대 원리금 전액을 부채에 반영,없음,상쇄,1차,은행업감독규정 등 5개 감독규정 개정(2018-01-23 의결),https://www.korea.kr/briefing/pressReleaseView.do?newsId=156250057
대출,2017-10-24,2018-10(은행권),10·24 가계부채 종합대책,전국,,DSR,DSR 도입. 2018-03 은행권 시범운영 -> 2018-10 은행권 본격 시행. 종전 기재 2018-03-26 은 확인 불가,없음,상쇄,1차,금융위 DSR 설명자료,https://www.fsc.go.kr/no010103/24680
대출,2018-09-13,2018-09-14,9·13 대책,규제지역,,금지,2주택 이상 보유자 신규 주담대 금지. 2018-09-14 신규 신청분부터. 지역·보유수별 예외 있음,없음,상쇄,1차,금융위 9·13 금융부문 후속조치,https://www.fsc.go.kr/eng/pr010101/22189
대출,2018-09-13,2018-10-15,9·13 대책,규제지역,,전세대출,2주택 이상 공적 전세보증 금지. 대출 신청일 기준,없음,상쇄,1차,금융위 9·13 대책에 따른 전세보증요건 강화(2018-10-08),https://www.fsc.go.kr/no010101/73349
규제지역,2018-08-27,불명,8·27 대책 후속,서울 15개구 투기지역,,지정,"종로·중구·동대문·동작 투기지역 추가. 발표 2018-08-27, 지정 효력일 미확인. 통제 자치구 중 광진구만 끝까지 비투기지역",있음,상쇄(12·16 규제는 투기과열지구에도 적용),2차,국토부 8·27 발표자료. 지정 고시 원문 미확보,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95081249
대출,2019-12-16,2019-12-17,12·16 대책,투기지역·투기과열지구,15억,금지,시가 15억 초과 아파트 주택구입 목적 주담대 전면 금지,없음,핵심,1차,금융위 12·16 주택시장 안정화 방안 — 행정지도,https://www.fsc.go.kr/no010101/74038
대출,2019-12-16,2019-12-23,12·16 대책,투기지역·투기과열지구,9억,LTV,9억 이하분 LTV 40%·초과분 20%,없음,핵심,1차,금융위 12·16 후속 — 12.23일부터 행정지도 시행,https://www.fsc.go.kr/no010101/74057
대출,2019-12-16,2019-12-23,12·16 대책,투기지역·투기과열지구,9억,DSR,시가 9억 초과 주택 차주단위 DSR — 은행권 40%·비은행권 60%,없음,핵심,1차,금융위 주택담보대출 Q&A,https://www.fsc.go.kr/po020201/27351
규제지역,2020-06-17,2020-06-19,6·17 대책,수도권 대부분+대전·청주,,지정,규제지역 대확대,없음,상쇄,1차,국토교통부공고 제2020-828호 조정대상지역 지정,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17018
대출,2020-06-17,2020-07-01,6·17 대책,규제지역 전체,,전입의무,주담대 실행 후 6개월 내 전입. 신규 신청분부터,없음,교란(상쇄 방향),1차,금융위 6·17 후속 — 전 금융권 행정지도(2020-06-30),https://www.fsc.go.kr/po010101/74417
대출,2020-06-17,불명,6·17 대책,전국,3억,전세대출,"전세대출 이용 중 3억 초과 아파트 취득 시 회수. 금융위는 ""보증기관 규정 개정 등을 거쳐 7월 중순 시행""으로만 안내. 종전 기재 2020-07-10 은 확인 불가",없음,상쇄,2차,금융위 6·17 전세대출 조치(2020-06-22),https://www.fsc.go.kr/no010101/74393
대출,2020-06-17,2020-07-01,6·17 대책,전국,,금지,"주택 매매·임대사업자(법인·개인) 주담대 금지. 전 지역. 전 금융권 행정지도. 종전 기재 ""법인 전면 금지"" 는 범위 과대",없음,상쇄,1차,금융위 6·17 후속 행정지도(2020-06-30),https://www.fsc.go.kr/no010101/74417
규제지역,2023-01-03,2023-01-05,1·3 대책,강남3구·용산 제외 전면 해제,,해제,서울 21개구 규제지역 해제. 효력 1월 5일 0시,있음,확장사양 교란,1차,국토부 규제지역 해제 — 효력 2023-01-05 0시. 공고 원문 미확보,
대출,2023-01-03,2023-03-02,1·3 대책,규제지역,,LTV,다주택자 주담대 허용 LTV 30%,있음,창 끝자락,1차,금융위 제4차 정례회의 5개 업권 감독규정 개정(2023-03-02),https://www.fsc.go.kr/po010102/79514
대출,2022-11-10,2022-12-01,부동산 관계장관회의 후속 감독규정 개정,투기지역·투기과열지구,15억,해제,시가 15억 초과 아파트 주택구입 목적 주담대 허용(LTV 50%). 2019-12-17 금지의 폐지. 종전 기재 2023-03-02 는 다른 개정과 혼동,없음,핵심,1차,금융위 5개 감독규정 개정 — 15억 초과 APT 주담대 허용,https://www.fsc.go.kr/no010101/78887
대출,2025-06-27,2025-06-28,6·27 대책,수도권·규제지역,6억,한도,주택 구입 목적 주담대 최대 6억 한도,없음,식별구간 밖,1차,금융위 수도권 중심의 가계부채 관리 강화 방안,https://www.fsc.go.kr/no010101/84824
규제지역,2025-10-15,2025-10-16,10·15 대책,서울 25개구+경기 12곳,,지정,서울 21개구+경기 12곳 조정대상지역·투기과열지구 신규 지정. 효력 2025-10-16. 종전 기재 10-20 은 토허구역 효력일과 혼동,없음,식별구간 밖,1차,정부 합동 10·15 주택시장 안정화 대책,https://eiec.kdi.re.kr/policy/callDownload.do?num=272171&filenum=1
대출,2026-08-13,불명,8·13 대책,전국,,총량,2026-08-13 발표는 1차 자료로 확인 불가(2026-09-12 조사). 실재하는 것은 「26년도 가계부채 관리방안」이며 행정지도 시행 2026-04-02,없음,존재 확인 불가,불명,해당 날짜 공식 발표 미확인,
